what,kind,bundleId,bundleVersion,description,time
activated,perspective,org.eclipse.wst.jsdt.ui,,"org.eclipse.wst.jsdt.ui.JavaPerspective",1421877617679
started,bundle,org.eclipse.osgi,3.6.0.v20100517,"org.eclipse.osgi",1421877617681
started,bundle,org.eclipse.equinox.simpleconfigurator,1.0.200.v20100503,"org.eclipse.equinox.simpleconfigurator",1421877617681
started,bundle,com.ibm.icu,4.2.1.v20100412,"com.ibm.icu",1421877617682
started,bundle,org.eclipse.core.contenttype,3.4.100.v20100505-1235,"org.eclipse.core.contenttype",1421877617683
started,bundle,org.eclipse.core.databinding.observable,1.3.0.I20100601-0800,"org.eclipse.core.databinding.observable",1421877617683
started,bundle,org.eclipse.core.expressions,3.4.200.v20100505,"org.eclipse.core.expressions",1421877617684
started,bundle,org.eclipse.core.filebuffers,3.5.100.v20100520-0800,"org.eclipse.core.filebuffers",1421877617684
started,bundle,org.eclipse.core.filesystem,1.3.0.v20100526-0737,"org.eclipse.core.filesystem",1421877617684
started,bundle,org.eclipse.core.jobs,3.5.0.v20100515,"org.eclipse.core.jobs",1421877617685
started,bundle,org.eclipse.core.net,1.2.100.I20100511-0800,"org.eclipse.core.net",1421877617686
started,bundle,org.eclipse.core.resources,3.6.0.v20100526-0737,"org.eclipse.core.resources",1421877617686
started,bundle,org.eclipse.core.runtime,3.6.0.v20100505,"org.eclipse.core.runtime",1421877617687
started,bundle,org.eclipse.core.runtime.compatibility,3.2.100.v20100505,"org.eclipse.core.runtime.compatibility",1421877617688
started,bundle,org.eclipse.core.runtime.compatibility.auth,3.2.200.v20100517,"org.eclipse.core.runtime.compatibility.auth",1421877617688
started,bundle,org.eclipse.epp.usagedata.gathering,1.3.0.R201005261100,"org.eclipse.epp.usagedata.gathering",1421877617689
started,bundle,org.eclipse.epp.usagedata.recording,1.3.0.R201005261100,"org.eclipse.epp.usagedata.recording",1421877617690
started,bundle,org.eclipse.equinox.app,1.3.0.v20100512,"org.eclipse.equinox.app",1421877617691
started,bundle,org.eclipse.equinox.common,3.6.0.v20100503,"org.eclipse.equinox.common",1421877617691
started,bundle,org.eclipse.equinox.ds,1.2.0.v20100507,"org.eclipse.equinox.ds",1421877617692
started,bundle,org.eclipse.equinox.event,1.2.0.v20100503,"org.eclipse.equinox.event",1421877617692
started,bundle,org.eclipse.equinox.p2.core,2.0.0.v20100510,"org.eclipse.equinox.p2.core",1421877617693
started,bundle,org.eclipse.equinox.p2.directorywatcher,1.0.200.v20100601,"org.eclipse.equinox.p2.directorywatcher",1421877617693
started,bundle,org.eclipse.equinox.p2.engine,2.0.0.v20100606,"org.eclipse.equinox.p2.engine",1421877617694
started,bundle,org.eclipse.equinox.p2.metadata,2.0.0.v20100601,"org.eclipse.equinox.p2.metadata",1421877617696
started,bundle,org.eclipse.equinox.p2.metadata.repository,1.1.0.v20100513,"org.eclipse.equinox.p2.metadata.repository",1421877617697
started,bundle,org.eclipse.equinox.p2.operations,2.0.0.v20100510,"org.eclipse.equinox.p2.operations",1421877617698
started,bundle,org.eclipse.equinox.p2.reconciler.dropins,1.1.0.v20100525,"org.eclipse.equinox.p2.reconciler.dropins",1421877617699
started,bundle,org.eclipse.equinox.p2.repository,2.0.0.v20100519,"org.eclipse.equinox.p2.repository",1421877617701
started,bundle,org.eclipse.equinox.p2.ui.sdk.scheduler,1.0.0.v20100507-1815,"org.eclipse.equinox.p2.ui.sdk.scheduler",1421877617701
started,bundle,org.eclipse.equinox.p2.updatechecker,1.1.100.v20100503a,"org.eclipse.equinox.p2.updatechecker",1421877617702
started,bundle,org.eclipse.equinox.preferences,3.3.0.v20100503,"org.eclipse.equinox.preferences",1421877617703
started,bundle,org.eclipse.equinox.registry,3.5.0.v20100503,"org.eclipse.equinox.registry",1421877617703
started,bundle,org.eclipse.equinox.security,1.0.200.v20100503,"org.eclipse.equinox.security",1421877617705
started,bundle,org.eclipse.equinox.util,1.0.200.v20100503,"org.eclipse.equinox.util",1421877617705
started,bundle,org.eclipse.help,3.5.0.v20100524,"org.eclipse.help",1421877617706
started,bundle,org.eclipse.jdt.core,3.6.0.v_A58,"org.eclipse.jdt.core",1421877617708
started,bundle,org.eclipse.jdt.core.manipulation,1.3.0.v20100520-0800,"org.eclipse.jdt.core.manipulation",1421877617708
started,bundle,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui",1421877617712
started,bundle,org.eclipse.jface,3.6.0.I20100601-0800,"org.eclipse.jface",1421877617713
started,bundle,org.eclipse.team.core,3.5.100.I20100527-0800,"org.eclipse.team.core",1421877617715
started,bundle,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui",1421877617716
started,bundle,org.eclipse.ui.editors,3.6.0.v20100520-0800,"org.eclipse.ui.editors",1421877617717
started,bundle,org.eclipse.ui.ide,3.6.0.I20100601-0800,"org.eclipse.ui.ide",1421877617718
started,bundle,org.eclipse.ui.navigator,3.5.0.I20100601-0800,"org.eclipse.ui.navigator",1421877617720
started,bundle,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.resources",1421877617720
started,bundle,org.eclipse.ui.net,1.2.100.I20100505-1245,"org.eclipse.ui.net",1421877617721
started,bundle,org.eclipse.ui.views,3.5.0.I20100527-0800,"org.eclipse.ui.views",1421877617722
started,bundle,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"org.eclipse.ui.workbench",1421877617722
started,bundle,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.workbench.texteditor",1421877617725
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1421877617725
started,bundle,org.eclipse.update.core,3.2.400.v20100512,"org.eclipse.update.core",1421877617727
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1421877617728
started,bundle,org.eclipse.wst.jsdt.core,1.1.0.v201006030738,"org.eclipse.wst.jsdt.core",1421877617730
started,bundle,org.eclipse.wst.jsdt.manipulation,1.0.200.v201004150600,"org.eclipse.wst.jsdt.manipulation",1421877617730
started,bundle,org.eclipse.wst.jsdt.ui,1.1.0.v201005200157,"org.eclipse.wst.jsdt.ui",1421877617730
os,sysinfo,,,"macosx",1421877617734
arch,sysinfo,,,"x86_64",1421877617734
ws,sysinfo,,,"cocoa",1421877617734
locale,sysinfo,,,"en_US",1421877617734
processors,sysinfo,,,"4",1421877617734
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1421877617734
java.runtime.version,sysinfo,,,"1.6.0_65-b14-466.1-11M4716",1421877617734
java.specification.name,sysinfo,,,"Java Platform API Specification",1421877617734
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1421877617734
java.specification.version,sysinfo,,,"1.6",1421877617734
java.vendor,sysinfo,,,"Apple Inc.",1421877617734
java.version,sysinfo,,,"1.6.0_65",1421877617734
java.vm.info,sysinfo,,,"mixed mode",1421877617734
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1421877617734
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1421877617734
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1421877617734
java.vm.specification.version,sysinfo,,,"1.0",1421877617734
java.vm.vendor,sysinfo,,,"Apple Inc.",1421877617734
java.vm.version,sysinfo,,,"20.65-b04-466.1",1421877617734
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1421877675645
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1421877680980
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1421877721422
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1421877723107
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1421877724632
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1421877727119
