what,kind,bundleId,bundleVersion,description,time
java.vm.info,sysinfo,,,"mixed mode",1481368825431
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1481368825431
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1481368825431
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1481368825431
java.vm.specification.version,sysinfo,,,"1.0",1481368825431
java.vm.vendor,sysinfo,,,"Apple Inc.",1481368825431
java.vm.version,sysinfo,,,"20.65-b04-466.1",1481368825431
started,bundle,org.eclipse.epp.usagedata.ui,1.3.0.R201005261100,"org.eclipse.epp.usagedata.ui",1481368826457
started,bundle,org.eclipse.ui.forms,3.5.0.v20100427,"org.eclipse.ui.forms",1481368826514
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1481368827118
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1481368854974
activated,view,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.ProjectExplorer",1481368858176
activated,editor,org.eclipse.wst.html.ui,1.0.500.v201006030742,"org.eclipse.wst.html.core.htmlsource.source",1481368864997
opened,editor,org.eclipse.wst.html.ui,1.0.500.v201006030742,"org.eclipse.wst.html.core.htmlsource.source",1481368865048
activated,editor,org.eclipse.wst.html.ui,1.0.500.v201006030742,"org.eclipse.wst.html.core.htmlsource.source",1481368865097
started,bundle,org.eclipse.wst.server.core,1.1.202.v20100518,"org.eclipse.wst.server.core",1481368869471
started,bundle,org.eclipse.wst.server.ui,1.1.203.v20100601,"org.eclipse.wst.server.ui",1481368869492
started,bundle,org.eclipse.wst.web,1.1.400.v201005270700,"org.eclipse.wst.web",1481368877513
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1481368877953
started,bundle,org.eclipse.wst.server.preview.adapter,1.1.0.v20090311b,"org.eclipse.wst.server.preview.adapter",1481368878195
started,bundle,org.eclipse.wst.server.http.core,1.0.200.v20090429,"org.eclipse.wst.server.http.core",1481368878217
opened,view,org.eclipse.wst.server.ui,1.1.203.v20100601,"org.eclipse.wst.server.ui.ServersView",1481368884754
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1481368884875
started,bundle,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console",1481368884963
error,log,,,"Error starting server HTTP Preview at localhost",1481368885129
error,log,,,"Could not find JRE executable",1481368885130
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1481368885226
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1481368890357
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1481370339113
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1481489605754
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1481489607428
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1481490156051
closed,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1481490156380
stopped,bundle,org.eclipse.equinox.p2.ui.sdk,1.0.100.v20100513,"org.eclipse.equinox.p2.ui.sdk",1481490156928
stopped,bundle,org.eclipse.wst.xsl.jaxp.debug.ui,1.0.100.v201004290328,"org.eclipse.wst.xsl.jaxp.debug.ui",1481490156929
stopped,bundle,org.eclipse.jdt.debug.ui,3.5.0.v20100602-0830,"org.eclipse.jdt.debug.ui",1481490156929
stopped,bundle,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui",1481490156940
